dataset_index,initialization_index,anchor_step,reuse_commits,method,n_streams,amortized_proxy_ns,verifier_ns,projected_total_ns,within_variance_v48,predicted_rmse_v48,observed_rmse_v48,selected_program_regret_v48
1,0,600,10,hash_placebo_mean,2,1420.00,496950.00,498370.00,1.290392221139e-5,3.661036857387e-4,3.646831647958e-4,3.874324216362e-4
1,0,600,10,nearest_centroid_quota_repair,2,247600.00,496950.00,744550.00,6.305475319592e-6,2.560869371523e-4,2.529054835206e-4,3.211715529687e-4
1,0,600,10,projected_order_1d,2,2130.00,496950.00,499080.00,7.946673148123e-6,2.873993141246e-4,2.875689050264e-4,3.312483113618e-4
1,0,600,10,warm_start_balanced_kmeans,2,187030.00,496950.00,683980.00,6.305475319592e-6,2.560869371523e-4,2.529054835206e-4,3.211715529687e-4
1,0,600,25,balanced_kmeans,2,76890.00,493500.00,570390.00,6.903844427672e-6,2.679842658676e-4,2.674481360482e-4,3.576515849772e-4
1,0,600,25,hash_placebo_mean,2,568.00,493500.00,494068.00,1.433653298184e-5,3.859380895890e-4,3.852054516303e-4,4.083404792112e-4
1,0,600,25,nearest_centroid_quota_repair,2,99040.00,493500.00,592540.00,6.903844427672e-6,2.679842658676e-4,2.674481360482e-4,3.576515849772e-4
1,0,600,25,projected_order_1d,2,852.00,493500.00,494352.00,8.578686122842e-6,2.987579399977e-4,2.916756566989e-4,3.737258102774e-4
1,0,600,25,warm_start_balanced_kmeans,2,74812.00,493500.00,568312.00,6.903844427672e-6,2.679842658676e-4,2.674481360482e-4,3.576515849772e-4
1,0,600,50,balanced_kmeans,2,38445.00,525650.00,564095.00,6.970009648427e-6,2.694429040829e-4,2.660177783184e-4,3.266492578291e-4
1,0,600,50,hash_placebo_mean,2,284.00,525650.00,525934.00,1.503604813744e-5,3.952864470178e-4,3.997517891581e-4,5.055936879537e-4
1,0,600,50,nearest_centroid_quota_repair,2,49520.00,525650.00,575170.00,6.970009648427e-6,2.694429040829e-4,2.660177783184e-4,3.266492578291e-4
1,0,600,50,projected_order_1d,2,426.00,525650.00,526076.00,8.622961808246e-6,2.996587567396e-4,3.003783396209e-4,3.706798902741e-4
