dataset_index,initialization_index,stream_seed,state_step,anchor_step,age,method,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,partition_build_median_ns,iterations,within_sse,measurement_repetitions
0,1,a303ea0000000004,700,600,100,nearest_centroid_quota_repair,27,20736,9500,59500,1,8.114276925870e0,3
0,1,a303ea0000000004,700,600,100,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,2400,2400,0,balanced_kmeans,27,20736,9500,1868000,3,2.172047621646e1,3
0,1,a303ea0000000004,2400,2400,0,warm_start_balanced_kmeans,27,20736,9500,1218400,3,2.099654573009e1,3
0,1,a303ea0000000004,2400,2400,0,projected_order_1d,27,20736,9500,10400,1,4.893331372575e1,3
0,1,a303ea0000000004,2400,2400,0,nearest_centroid_quota_repair,27,20736,9500,45500,1,2.756058984461e1,3
0,1,a303ea0000000004,2400,2400,0,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,2401,2400,1,balanced_kmeans,27,20736,9300,1676500,3,2.162099947953e1,3
0,1,a303ea0000000004,2401,2400,1,warm_start_balanced_kmeans,27,20736,9300,627600,2,2.089623257976e1,3
0,1,a303ea0000000004,2401,2400,1,projected_order_1d,27,20736,9300,10000,1,4.877928603414e1,3
0,1,a303ea0000000004,2401,2400,1,nearest_centroid_quota_repair,27,20736,9300,40400,1,2.712167111851e1,3
0,1,a303ea0000000004,2401,2400,1,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,2410,2400,10,balanced_kmeans,27,20736,9100,2034900,4,2.063463794074e1,3
0,1,a303ea0000000004,2410,2400,10,warm_start_balanced_kmeans,27,20736,9100,1001700,3,2.006833036555e1,3
0,1,a303ea0000000004,2410,2400,10,projected_order_1d,27,20736,9100,10500,1,4.812001901839e1,3
0,1,a303ea0000000004,2410,2400,10,nearest_centroid_quota_repair,27,20736,9100,39100,1,2.665646246614e1,3
0,1,a303ea0000000004,2410,2400,10,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,2425,2400,25,balanced_kmeans,27,20736,13500,4068200,5,2.131125319327e1,3
0,1,a303ea0000000004,2425,2400,25,warm_start_balanced_kmeans,27,20736,13500,1212800,2,2.080504419382e1,3
0,1,a303ea0000000004,2425,2400,25,projected_order_1d,27,20736,13500,16300,1,4.412728610329e1,3
0,1,a303ea0000000004,2425,2400,25,nearest_centroid_quota_repair,27,20736,13500,68600,1,2.800863390879e1,3
0,1,a303ea0000000004,2425,2400,25,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,2450,2400,50,balanced_kmeans,27,20736,9100,3424300,4,2.256897545261e1,3
0,1,a303ea0000000004,2450,2400,50,warm_start_balanced_kmeans,27,20736,9100,1387700,2,2.200775531022e1,3
0,1,a303ea0000000004,2450,2400,50,projected_order_1d,27,20736,9100,14700,1,4.826257293872e1,3
0,1,a303ea0000000004,2450,2400,50,nearest_centroid_quota_repair,27,20736,9100,72500,1,2.792495042669e1,3
0,1,a303ea0000000004,2450,2400,50,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000004,2500,2400,100,balanced_kmeans,27,20736,9100,2470300,4,2.281233145964e1,3
0,1,a303ea0000000004,2500,2400,100,warm_start_balanced_kmeans,27,20736,9100,1262800,3,2.191011167684e1,3
0,1,a303ea0000000004,2500,2400,100,projected_order_1d,27,20736,9100,16900,1,4.923248407622e1,3
0,1,a303ea0000000004,2500,2400,100,nearest_centroid_quota_repair,27,20736,9100,69500,1,2.981142976168e1,3
0,1,a303ea0000000004,2500,2400,100,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,2,a303ea0000000005,600,600,0,balanced_kmeans,27,20736,9500,1658500,4,1.191231360775e1,3
0,2,a303ea0000000005,600,600,0,warm_start_balanced_kmeans,27,20736,9500,1638100,4,1.191231360775e1,3
0,2,a303ea0000000005,600,600,0,projected_order_1d,27,20736,9500,9900,1,1.666938087672e1,3
0,2,a303ea0000000005,600,600,0,nearest_centroid_quota_repair,27,20736,9500,1703600,4,1.191231360775e1,3
0,2,a303ea0000000005,600,600,0,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
