fit_id,operator_id,arm,adapter_seed,graph_realization,control_seed,teacher_seed,learner_seed,status,heldout_bce,heldout_accuracy,final_train_loss
"degree-a1104-g2101-cx-t6103-l7104","degree-a1104-g2101-cx","degree",1104,2101,,6103,7104,"complete",0.27524206745931334,0.894775390625,0.07471176867949558
"degree-a1104-g2101-cx-t6104-l7101","degree-a1104-g2101-cx","degree",1104,2101,,6104,7101,"complete",0.27151753538213175,0.894287109375,0.08111873057483206
"degree-a1104-g2101-cx-t6104-l7102","degree-a1104-g2101-cx","degree",1104,2101,,6104,7102,"complete",0.2793557588081818,0.89404296875,0.0784123955321089
"degree-a1104-g2101-cx-t6104-l7103","degree-a1104-g2101-cx","degree",1104,2101,,6104,7103,"complete",0.2748486360099027,0.8935546875,0.08347829703038595
"degree-a1104-g2101-cx-t6104-l7104","degree-a1104-g2101-cx","degree",1104,2101,,6104,7104,"complete",0.27969566057386525,0.895751953125,0.07355001895441753
"degree-a1101-g2102-cx-t6101-l7101","degree-a1101-g2102-cx","degree",1101,2102,,6101,7101,"complete",0.2510050862232114,0.90869140625,0.062219974536032424
"degree-a1101-g2102-cx-t6101-l7102","degree-a1101-g2102-cx","degree",1101,2102,,6101,7102,"complete",0.2325178351151746,0.90625,0.06781889255542783
"degree-a1101-g2102-cx-t6101-l7103","degree-a1101-g2102-cx","degree",1101,2102,,6101,7103,"complete",0.24670738818900356,0.91162109375,0.06392849373076381
"degree-a1101-g2102-cx-t6101-l7104","degree-a1101-g2102-cx","degree",1101,2102,,6101,7104,"complete",0.247411950198809,0.914794921875,0.0638362497727035
"degree-a1101-g2102-cx-t6102-l7101","degree-a1101-g2102-cx","degree",1101,2102,,6102,7101,"complete",0.23494695425116052,0.91015625,0.06894931719406146
"degree-a1101-g2102-cx-t6102-l7102","degree-a1101-g2102-cx","degree",1101,2102,,6102,7102,"complete",0.23354559617480597,0.90673828125,0.07250107492517782
"degree-a1101-g2102-cx-t6102-l7103","degree-a1101-g2102-cx","degree",1101,2102,,6102,7103,"complete",0.23484728709560215,0.906494140625,0.06847214519650476
"degree-a1101-g2102-cx-t6102-l7104","degree-a1101-g2102-cx","degree",1101,2102,,6102,7104,"complete",0.234153865449872,0.909912109375,0.0684027666922887
"degree-a1101-g2102-cx-t6103-l7101","degree-a1101-g2102-cx","degree",1101,2102,,6103,7101,"complete",0.27339167909348006,0.8955078125,0.07472523804402743
"degree-a1101-g2102-cx-t6103-l7102","degree-a1101-g2102-cx","degree",1101,2102,,6103,7102,"complete",0.2775566068736735,0.892333984375,0.0730533077019546
"degree-a1101-g2102-cx-t6103-l7103","degree-a1101-g2102-cx","degree",1101,2102,,6103,7103,"complete",0.27521068974090696,0.898681640625,0.0784935721700359
"degree-a1101-g2102-cx-t6103-l7104","degree-a1101-g2102-cx","degree",1101,2102,,6103,7104,"complete",0.2752269873821821,0.8955078125,0.0747399073886533
"degree-a1101-g2102-cx-t6104-l7101","degree-a1101-g2102-cx","degree",1101,2102,,6104,7101,"complete",0.2716102975137226,0.89404296875,0.08112233949373336
"degree-a1101-g2102-cx-t6104-l7102","degree-a1101-g2102-cx","degree",1101,2102,,6104,7102,"complete",0.27941551532529096,0.89453125,0.0784021914991193
"degree-a1101-g2102-cx-t6104-l7103","degree-a1101-g2102-cx","degree",1101,2102,,6104,7103,"complete",0.27482177192928725,0.893310546875,0.08341982537732698
"degree-a1101-g2102-cx-t6104-l7104","degree-a1101-g2102-cx","degree",1101,2102,,6104,7104,"complete",0.2797708079411278,0.896240234375,0.07333051248096649
"degree-a1102-g2102-cx-t6101-l7101","degree-a1102-g2102-cx","degree",1102,2102,,6101,7101,"complete",0.25103800376705876,0.908447265625,0.06222650507376178
"degree-a1102-g2102-cx-t6101-l7102","degree-a1102-g2102-cx","degree",1102,2102,,6101,7102,"complete",0.23244594495264267,0.906494140625,0.06777637690393122
"degree-a1102-g2102-cx-t6101-l7103","degree-a1102-g2102-cx","degree",1102,2102,,6101,7103,"complete",0.2465861623634839,0.91259765625,0.0639498201103638
"degree-a1102-g2102-cx-t6101-l7104","degree-a1102-g2102-cx","degree",1102,2102,,6101,7104,"complete",0.2474900283364802,0.91455078125,0.06384888730259294
"degree-a1102-g2102-cx-t6102-l7101","degree-a1102-g2102-cx","degree",1102,2102,,6102,7101,"complete",0.23482693061558935,0.910888671875,0.06896252671169863
