seed,snapshot,domain,slot,pair_kind,horizon,program_a_ordinal,program_b_ordinal,complete_horizon,delta_a,delta_ancestor,delta_b,source_interaction,identity_residual,path_divergent,differing_commits,first_difference,cumulative_action_l1,net_displacement_l1,invalid_path_a,invalid_path_ancestor,invalid_path_b
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,1,C1_C2,4,43,5,true,1.019537448883e-4,1.085996627808e-4,1.085996627808e-4,-6.645917892456e-6,0.000000000000e0,true,26,1,1.6249999636784196,0.7749999826774001,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,1,C1_C2,8,43,5,true,4.771351814270e-5,5.498528480530e-5,5.498528480530e-5,-7.271766662598e-6,0.000000000000e0,true,26,1,1.6249999636784196,0.7749999826774001,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,1,C1_C2,16,43,5,true,1.653432846069e-4,1.637041568756e-4,1.637041568756e-4,1.639127731323e-6,0.000000000000e0,true,26,1,1.6249999636784196,0.7749999826774001,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,1,C1_C2,32,43,5,true,1.556873321533e-4,1.552700996399e-4,1.552700996399e-4,4.172325134277e-7,0.000000000000e0,true,26,1,1.6249999636784196,0.7749999826774001,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,1,C1_C2,64,43,5,true,2.722442150116e-4,3.963112831116e-4,3.963112831116e-4,-1.240670681000e-4,0.000000000000e0,true,26,1,1.6249999636784196,0.7749999826774001,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,0,G_C1,1,7,12,true,-5.364418029785e-7,-5.364418029785e-7,-5.364418029785e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,0,G_C1,2,7,12,true,-1.192092895508e-7,-1.192092895508e-7,-1.192092895508e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,0,G_C1,4,7,12,true,0.000000000000e0,1.192092895508e-7,0.000000000000e0,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,0,G_C1,8,7,12,true,7.748603820801e-7,9.536743164062e-7,7.748603820801e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,0,G_C1,16,7,12,true,2.980232238770e-7,4.768371582031e-7,2.980232238770e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,0,G_C1,32,7,12,true,9.834766387939e-6,1.001358032227e-5,9.834766387939e-6,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,0,G_C1,64,7,12,true,7.569789886475e-6,1.490116119385e-6,7.569789886475e-6,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,0,C1_C2,1,12,10,true,-6.556510925293e-7,-6.556510925293e-7,-6.556510925293e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
c3a5c85c97cb3127,600,D1_EXACT_VECTOR,0,C1_C2,2,12,10,true,-1.788139343262e-7,-1.788139343262e-7,-1.788139343262e-7,0.000000000000e0,0.000000000000e0,false,0,0,0,0,0,0,0
