method,dataset_index,initialization_index,stream_seed,state_step,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,feature_acquisition_ns_per_example,partition_build_median_ns,partition_build_ns_per_example,measurement_repetitions
sign_gradient_171,1,2,a303ea000000000c,2400,171,131328,29000,302.083,2812800,29300.000,3
full_gradient_171,1,2,a303ea000000000c,4200,171,131328,17300,180.208,4816100,50167.708,3
output_layer_27,1,2,a303ea000000000c,4200,27,20736,10500,109.375,2517100,26219.792,3
last_hidden_layer_72,1,2,a303ea000000000c,4200,72,55296,14100,146.875,5571000,58031.250,3
rademacher_projection_32,1,2,a303ea000000000c,4200,32,24576,178200,1856.250,4326900,45071.875,3
sign_gradient_171,1,2,a303ea000000000c,4200,171,131328,20700,215.625,2693100,28053.125,3
full_gradient_171,2,0,a303ea000000000d,600,171,131328,19900,207.292,3916600,40797.917,3
output_layer_27,2,0,a303ea000000000d,600,27,20736,9600,100.000,1622000,16895.833,3
last_hidden_layer_72,2,0,a303ea000000000d,600,72,55296,17300,180.208,2698700,28111.458,3
rademacher_projection_32,2,0,a303ea000000000d,600,32,24576,185000,1927.083,2029700,21142.708,3
sign_gradient_171,2,0,a303ea000000000d,600,171,131328,19500,203.125,2478000,25812.500,3
full_gradient_171,2,0,a303ea000000000d,2400,171,131328,20400,212.500,4896000,51000.000,3
output_layer_27,2,0,a303ea000000000d,2400,27,20736,14000,145.833,2196000,22875.000,3
last_hidden_layer_72,2,0,a303ea000000000d,2400,72,55296,13500,140.625,3845100,40053.125,3
rademacher_projection_32,2,0,a303ea000000000d,2400,32,24576,178300,1857.292,3449000,35927.083,3
sign_gradient_171,2,0,a303ea000000000d,2400,171,131328,19600,204.167,3057300,31846.875,3
full_gradient_171,2,0,a303ea000000000d,4200,171,131328,19500,203.125,5844000,60875.000,3
output_layer_27,2,0,a303ea000000000d,4200,27,20736,9600,100.000,1992400,20754.167,3
last_hidden_layer_72,2,0,a303ea000000000d,4200,72,55296,13600,141.667,4234100,44105.208,3
rademacher_projection_32,2,0,a303ea000000000d,4200,32,24576,180700,1882.292,4733100,49303.125,3
sign_gradient_171,2,0,a303ea000000000d,4200,171,131328,19700,205.208,3332200,34710.417,3
full_gradient_171,2,0,a303ea000000000e,600,171,131328,17100,178.125,4429200,46137.500,3
output_layer_27,2,0,a303ea000000000e,600,27,20736,9700,101.042,1677300,17471.875,3
last_hidden_layer_72,2,0,a303ea000000000e,600,72,55296,13500,140.625,2967500,30911.458,3
rademacher_projection_32,2,0,a303ea000000000e,600,32,24576,179300,1867.708,2571700,26788.542,3
sign_gradient_171,2,0,a303ea000000000e,600,171,131328,19700,205.208,3060600,31881.250,3
full_gradient_171,2,0,a303ea000000000e,2400,171,131328,28700,298.958,6046300,62982.292,3
