cell_id,state_arm,step,source,candidate_count,spearman,pairwise_agreement,pair_count,top1_agreement,candidate_regret,utility_spread
5,sentinel_fixed128,4200,fixed,170,-0.139958134,0.447245630,14359,0.000000000,3.010129928589e-2,9.023062884808e-4
5,sentinel_fixed128,4200,rotating,170,0.388430701,0.642951619,14365,0.000000000,2.233076095581e-2,5.863022804260e-2
5,sentinel_rotating128,0,training,170,0.387098449,0.651910206,14344,0.000000000,1.369714736938e-4,1.843929290771e-3
5,sentinel_rotating128,0,fixed,170,0.496246621,0.692221912,14348,0.000000000,1.369714736938e-4,1.842617988586e-3
5,sentinel_rotating128,0,rotating,170,0.433658954,0.667897965,14348,0.000000000,7.799863815308e-4,2.764821052551e-3
5,sentinel_rotating128,600,training,170,0.192570396,0.580393251,14342,0.000000000,1.732349395752e-3,3.864347934723e-3
5,sentinel_rotating128,600,fixed,170,0.245685141,0.598074105,14331,0.000000000,7.122755050659e-4,3.705084323883e-3
5,sentinel_rotating128,600,rotating,170,0.120897018,0.544129950,14344,0.000000000,2.776145935059e-3,2.118289470673e-3
5,sentinel_rotating128,2400,training,170,-0.001318999,0.497110229,14361,0.000000000,4.070639610291e-3,6.160974502563e-3
5,sentinel_rotating128,2400,fixed,170,-0.050672812,0.480395571,14359,0.000000000,2.363801002502e-3,4.541873931885e-3
5,sentinel_rotating128,2400,rotating,170,0.143306754,0.553234454,14361,0.000000000,3.672599792480e-3,3.628194332123e-3
5,sentinel_rotating128,4200,training,170,0.144224034,0.558944363,14361,0.000000000,3.032028675079e-3,1.003444194794e-2
5,sentinel_rotating128,4200,fixed,170,0.148490020,0.555184179,14361,0.000000000,1.756429672241e-3,6.818354129791e-3
5,sentinel_rotating128,4200,rotating,170,0.058183715,0.532516363,14362,0.000000000,4.459142684937e-3,6.920695304871e-3
6,training_full96,0,training,170,0.200969837,0.575440797,14349,1.000000000,0.000000000000e0,2.511858940125e-3
6,training_full96,0,fixed,170,0.213470535,0.586406413,14345,0.000000000,2.872347831726e-3,1.829624176025e-3
6,training_full96,0,rotating,170,0.438917749,0.660369467,14345,1.000000000,0.000000000000e0,1.055121421814e-3
6,training_full96,600,training,170,0.521488659,0.699087934,14363,1.000000000,0.000000000000e0,1.240289211273e-2
6,training_full96,600,fixed,170,0.538764185,0.704219468,14362,0.000000000,1.203358173370e-3,1.076424121857e-2
6,training_full96,600,rotating,170,0.586561619,0.731602033,14363,0.000000000,1.203358173370e-3,1.104784011841e-2
6,training_full96,2400,training,170,0.338971666,0.613440111,14360,0.000000000,9.759068489075e-3,4.006147384644e-2
6,training_full96,2400,fixed,170,0.282198526,0.600403843,14362,0.000000000,5.023598670959e-3,2.571129798889e-2
